ID,SimplifiedChinese
MP_ERROR_CONNECT_FAIL,无法启动多人游戏，请检查你的互联网连接
MP_ERROR_CONNECT_FAIL_BANNED,此账户已被禁止，因此无法开始多人游戏。
MP_ERROR_DISCONNECTED,抱歉，网络连接已丢失。
MP_ERROR_GAME_UPDATE_REQUIRED,必须对游戏进行更新才能访问多人游戏。
MP_ERROR_INVALID_VERSION,一个或多个玩家使用了旧版的阿门罗。请确保所有玩家使用新版游戏。
MP_ERROR_NOT_SIGNED_IN,未登录有效的用户名。
MP_ERROR_NO_CONNECTION,网络连接不可用。请检查网络连接。
MP_ERROR_NO_MATCHMAKING,自动配对系统不可用。
MP_ERROR_SESSION_CLOSED,网络会话已开始或已结束。
MP_ERROR_SESSION_CREATE_FAIL,无法创建网络会话。
MP_ERROR_SESSION_FULL,未能加入网络会话，因为其中的玩家数量已满。
MP_ERROR_SESSION_JOIN_FAIL,无法进入网络会话。
MP_ERROR_SESSION_KICKED,你已经从网络会话中被踢出。
MP_ERROR_SESSION_LOST,断开网络会话。
MP_ERROR_SESSION_NOT_EXIST,无法进入游戏。网络会话不存在。
MP_ERROR_SIGN_IN_FAIL,无法连接网络。
MP_ERROR_SIGN_OUT,已连接的用户登出。
MP_ERROR_STEAM_UPDATE_CLIENT_REQUIRED,你的《阿门罗》版本已落后于服务器。请关闭游戏，并在Steam客户端中更新阿门罗。
MP_ERROR_SYSTEM_UPDATE_REQUIRED,系统软件必须更新。
MP_ERROR_TIMED_OUT,抱歉，游戏连接已超时。
MP_ERROR_UPDATE_CLIENT_REQUIRED,你的《阿门罗》版本已落后于服务器。请关闭游戏，下载最新更新。
MP_MSG_AFK_KICKED,你已被移出游戏由于人不在电脑前时间太长。
MP_MSG_CONVERT_TO_PUBLIC_QUEUE,这样会让所有私人游戏的成员进入单独的公开队列大厅，并停用所有私人游戏的功能。如果你想重新启用任何私人游戏的功能，你需要离开公开队列并创建一个新的私人游戏。
MP_MSG_FINDING_GAME,正在查找游戏
MP_MSG_HOUSE_RULES_IN_PUBLIC,你正在进入公共多人模式。自定义规则不可用，将会被重置。
MP_MSG_INVALID_VERSION,你的：{0} 他们的：{1}
MP_MSG_NOT_PARTY_LEADER,只有队长可以排队参加游戏。
MP_MSG_PARTY_CONNECT_TIMEOUT,一名队员加入游戏失败。
MP_MSG_PARTY_DISCONNECTED,一名队员已离开游戏。
MP_MSG_QUEUE_ABANDON,你已经离开自动配对搜索。你可以在 {0} 秒后再次搜索。
MP_MSG_QUEUE_BLOCKED,由于放弃了多人游戏排队，你现在无法搜索多人游戏。请在{0}秒后再次搜索。
MP_MSG_QUEUE_KICKED,你被踢出了对战队列，可在 {0} 秒后再次搜索。
MP_MSG_RECRUIT_AI,你想要招募 AI 进入房间吗？
MP_MSG_SESSION_ENTERED,已进入房间
MP_MSG_SESSION_PLAYER_JOINED,<player> 已加入
MP_MSG_SESSION_PLAYER_LEFT,<player> 已离开
MP_MSG_SESSION_PLAYER_MASTER,<player> 现在控制着房间
MP_MSG_STARTING_GAME,正在开始游戏
MP_MSG_STATUS_MATCHMAKING,正在等待玩家进入。
MP_MSG_STATUS_OTHER,正在玩阿门罗。
MP_MSG_STATUS_PLAYING_MULTI,正在玩多人游戏。
MP_MSG_STATUS_PLAYING_SINGLE,正在玩单人游戏。
MP_PS4_DEFAULT_INVITE_MESSAGE,加入我的阿门罗游戏！
MP_PS4_DEFAULT_SESSION_NAME,桌游世界，栩栩如生
MP_PS4_ERROR_NOT_REGISTERED,需要注册索尼娱乐网络账户。
MULTIPLAYER_AI,AI
MULTIPLAYER_INITIALISING_GAME,正在初始化多人对战游戏...
MULTIPLAYER_LEAVE_QUEUE,离开队列
MULTIPLAYER_PLAYERS_IN_QUEUE,队列中的玩家
MULTIPLAYER_PUBLIC_GAME_READY,你的多人对战游戏已就绪！
MULTIPLAYER_QUEUE_PLAYER_1,1
MULTIPLAYER_QUEUE_PLAYER_2,2
MULTIPLAYER_QUEUE_PLAYER_3,3
MULTIPLAYER_QUEUE_PLAYER_4,4
MULTIPLAYER_SINGLEPLAYER_HINT,你可以在等待多人游戏时先玩单人游戏。
MULTIPLAYER_TOOLTIP_FINDGAME,加入在线公共多人队列
MULTIPLAYER_TOOLTIP_HOUSERULES,量身定做属于你自己的《阿门罗》游戏体验
MULTIPLAYER_TOOLTIP_INVITEFRIENDS,召集英勇的玩家，组成你自己的小队，进行公开或私密游戏。
MULTIPLAYER_TOOLTIP_JOINROOM,通过输入他们的游戏室代码可加入到另一个大厅
MULTIPLAYER_TOOLTIP_LEAVEQUEUE,退出匹配并停止搜索其他玩家。
MULTIPLAYER_TOOLTIP_LEAVE_PARTY,离开当前这个充满了恶棍流氓的小队。总算解放了。
MULTIPLAYER_TOOLTIP_READY,当所有玩家准备好时游戏可以开始。
MULTIPLAYER_TOOLTIP_RECRUITAI,使用电脑玩家填满空位，仅限私密游戏使用。
MULTIPLAYER_TOOLTIP_ROOMCODE,显示游戏室代码，其他玩家即可用它加入大厅
MULTIPLAYER_TOOLTIP_STARTPRIVATE,与当前小队一起进入游戏模式选择，进行私密游戏，并使用 AI 填补空位。
MULTIPLAYER_TOOLTIP_STARTPUBLIC,与当前小队一起进入游戏模式选择，进行公开游戏，并使用匹配功能寻找其他玩家。
MULTIPLAYER_WAITING_FOR_LOBBY,等待填充大厅...
MULTIPLAYER_WAITING_FOR_OTHER_PLAYERS,等待其他玩家...
NEW_CONTENT_UNLOCKED_TITLE,新内容已解锁！
NOTIFICATION_DECKSHUFFLED_FOLLOWER,随从卡组洗牌
NOTIFICATION_DECKSHUFFLED_ITEM,道具卡组洗牌
NOTIFICATION_DECKSHUFFLED_SPELL,法术卡组洗牌
NOTIFICATION_DECKSHUFFLED_TREASURE,宝藏卡组洗牌
NOTIFICATION_DECKSHUFFLED_TRICKERY,诡术卡组洗牌
NOVELLA_MENU_JUMPTOBOOKMARK,进入书签
NOVELLA_MENU_JUMPTOTITLE,进入标题
NOVELLA_MENU_MODELANDSCAPE,横向模式
NOVELLA_MENU_MODEPORTRAIT,纵向模式
NOVELLA_MENU_TEXTSIZEDOWN,缩小字体大小
NOVELLA_MENU_TEXTSIZEUP,扩大字体大小
NOVELLA_PROMPT_LEAVE,是否离开阅读器并回到主菜单？
NPC_BANE_01_NAME,贝恩
NPC_KINGSGUARD_01_NAME,国王守卫
NPC_KING_01_NAME,国王
NPC_KING_01_TOOLTIPBODYTEXT,曾经英明仁慈的阿门罗统治者，如今已堕入黑暗。
OPTIONS_AUDIO,音频
OPTIONS_AUDIO_HEADING,音频选项
OPTIONS_AUDIO_MUSIC_VOLUME,音乐音量
OPTIONS_AUDIO_SFX_VOLUME,音效音量
OPTIONS_AUDIO_VO_VOLUME,配音音量
OPTIONS_AUTO_ENCOUNTER_PEEK,自动遭遇窥视
OPTIONS_AUTO_ENCOUNTER_PEEK_OFF,关
OPTIONS_AUTO_ENCOUNTER_PEEK_ON,开启
OPTIONS_BATTERY_SAVER,省电模式
OPTIONS_CONTROLLERS_CONFIRM_BINDING,确认
OPTIONS_CONTROLLERS_ENDTURN_BINDING,回合结束
OPTIONS_CONTROLLERS_FOCUSCARD_BINDING,聚焦卡牌[b]向右[/b]
OPTIONS_CONTROLLERS_HEROSHELF_BINDING,英雄陈列架
OPTIONS_CONTROLLERS_INFORMATION_BINDING,信息
OPTIONS_CONTROLLERS_LEFTSTICK_BINDING,[b]左摇杆[/b]\n移动光标\n掷骰子
OPTIONS_CONTROLLERS_LEFTSTICK_BINDING_SWITCH,[b]L 摇杆 [/b]\n 移动光标\n 掷骰子
OPTIONS_CONTROLLERS_LEFTSTICK_BINDING_XBOX,[b]左摇杆[/b]\n移动光标\n掷骰子
OPTIONS_CONTROLLERS_PS4_L1_BINDING,循环玩家 [b]L1[/b]
OPTIONS_CONTROLLERS_PS4_L1_R1_BINDING,[b]L1 + R1[/b] 聚焦当前玩家
OPTIONS_CONTROLLERS_PS4_L2_BINDING,飞行摄像机 [b]L2[/b]
OPTIONS_CONTROLLERS_PS4_OPTIONS_BINDING,[b]OPTIONS[/b]\n菜单
OPTIONS_CONTROLLERS_PS4_R1_BINDING,[b]R1[/b] 循环玩家
OPTIONS_CONTROLLERS_PS4_R2_BINDING,[b]R2[/b] 准备一张选好的卡牌
OPTIONS_CONTROLLERS_PS4_TOUCHPAD_BINDING,"[b]触控板按钮[/b]
汇总面板

[b]触控板[/b]
滑动以投掷骰子"
OPTIONS_CONTROLLERS_RIGHTSTICK_BINDING,[b]右摇杆[/b]缩放地图\n[b]R3[/b] 状态反馈
OPTIONS_CONTROLLERS_RIGHTSTICK_BINDING_SWITCH,[b]R 摇杆 [/b] 缩放地图\n[b] 按下 R 摇杆 [/b] 状态反馈
OPTIONS_CONTROLLERS_RIGHTSTICK_BINDING_VITA,[b]右摇杆[/b]缩放地图
OPTIONS_CONTROLLERS_RIGHTSTICK_BINDING_XBOX,[b]右摇杆[/b]缩放地图\n[b]按下右摇杆[/b] 状态反馈
OPTIONS_CONTROLLERS_SELECTCARD_BINDING,选择卡牌[b]向上向下[/b]
OPTIONS_CONTROLLERS_SELECTCARD_DOWN_BINDING,选择卡牌[b]向下[/b]
OPTIONS_CONTROLLERS_SELECTCARD_UP_BINDING,选择卡牌[b]向上[/b]
OPTIONS_CONTROLLERS_SWITCH_L_BINDING,循环玩家 [b]L[/b]
OPTIONS_CONTROLLERS_SWITCH_L_R_BINDING,[b]L + R[/b] 聚焦当前玩家
OPTIONS_CONTROLLERS_SWITCH_MINUS_BINDING,[b]-[/b]\n汇总面板
OPTIONS_CONTROLLERS_SWITCH_PLUS_BINDING,[b]+[/b]\n菜单
OPTIONS_CONTROLLERS_SWITCH_R_BINDING,[b]R[/b] 循环玩家
OPTIONS_CONTROLLERS_SWITCH_SCREEN,触屏
OPTIONS_CONTROLLERS_SWITCH_ZL_BINDING,飞行摄像机 [b]ZL[/b]
OPTIONS_CONTROLLERS_SWITCH_ZR_BINDING,[b]ZR[/b] 准备一张选好的卡牌
OPTIONS_CONTROLLERS_UNFOCUSCARD_BINDING,卡牌离焦[b]向左[/b]
OPTIONS_CONTROLLERS_VITA_REMOTE_L_BINDING,飞行摄像机[b]按住 L[/b]
OPTIONS_CONTROLLERS_VITA_REMOTE_OPTIONS_BINDING,[b]START[/b]\n菜单
OPTIONS_CONTROLLERS_VITA_REMOTE_REARTOUCHPAD,[b]后触控板[/b]
OPTIONS_CONTROLLERS_VITA_REMOTE_R_BINDING,[b]按住 R[/b] 准备一张选好的卡牌
OPTIONS_CONTROLLERS_VITA_REMOTE_TOUCHSCREEN,"[b]触屏按钮[/b]
汇总面板

[b]触屏[/b]
滑动以投掷骰子"
OPTIONS_CONTROLLERS_XBOX360_BACK_BINDING,[b]BACK[/b]\n汇总面板
OPTIONS_CONTROLLERS_XBOX360_START_BINDING,[b]START[/b]\n菜单
OPTIONS_CONTROLLERS_XBOXONE_LB_BINDING,循环玩家 [b]LB[/b]
OPTIONS_CONTROLLERS_XBOXONE_LB_RB_BINDING,[b]LB + RB[/b] 聚焦当前玩家
OPTIONS_CONTROLLERS_XBOXONE_LT_BINDING,飞行摄像机 [b]LT[/b]
OPTIONS_CONTROLLERS_XBOXONE_MENU_BINDING,[b]MENU[/b]\n菜单
OPTIONS_CONTROLLERS_XBOXONE_RB_BINDING,[b]RB[/b] 循环玩家
OPTIONS_CONTROLLERS_XBOXONE_RT_BINDING,[b]RT[/b] 准备一张选好的卡牌
OPTIONS_CONTROLLERS_XBOXONE_VIEW_BINDING,[b]VIEW[/b]\n汇总面板
OPTIONS_CONTROLLER_VIBRATION,控制器震动
OPTIONS_CONTROLS,控制
OPTIONS_CONTROLS_FOCUS_CURRENT_TURNTAKER,聚焦当前回合玩家
OPTIONS_CONTROLS_FOCUS_LOCAL_PLAYER,聚焦本地玩家
OPTIONS_CONTROLS_FOCUS_NEXT_ENTITY,聚焦下一个实体
OPTIONS_CONTROLS_FOCUS_PALACE,聚焦王宫
OPTIONS_CONTROLS_FOCUS_PREVIOUS_ENTITY,聚焦上一个实体
OPTIONS_CONTROLS_FOCUS_QUEST,聚焦任务
OPTIONS_CONTROLS_FOCUS_TURNTAKER_1,聚焦第一个回合玩家
OPTIONS_CONTROLS_FOCUS_TURNTAKER_2,聚焦第二个回合玩家
OPTIONS_CONTROLS_FOCUS_TURNTAKER_3,聚焦第三个回合玩家
OPTIONS_CONTROLS_FOCUS_TURNTAKER_4,聚焦第四个回合玩家
OPTIONS_CONTROLS_HARDWARE_CURSOR,硬件光标
OPTIONS_CONTROLS_MOUSE_SENSITIVITY,鼠标灵敏度
OPTIONS_CONTROLS_SCROLL_MAP_DOWN,向下滚动地图
OPTIONS_CONTROLS_SCROLL_MAP_LEFT,向左滚动地图
OPTIONS_CONTROLS_SCROLL_MAP_RIGHT,向右滚动地图
OPTIONS_CONTROLS_SCROLL_MAP_UP,向上滚动地图
OPTIONS_CONTROLS_SHOWHIDE_HERO_SHELF,显示 / 隐藏英雄展架
OPTIONS_CONTROLS_SHOWHIDE_INVENTORY,显示/隐藏物品栏
OPTIONS_CONTROLS_SHOWHIDE_JOURNAL,显示/隐藏日志
OPTIONS_CONTROLS_SHOW_CONTROLLER,按下任意控制器按钮，查看控制器设置。
OPTIONS_CONTROLS_SHOW_KEYBOARD_MOUSE,按下任意键，查看键盘/鼠标控制设置。
OPTIONS_CONTROLS_SHOW_SUMMARY,显示概要
OPTIONS_CONTROLS_SPEEDUP_AI_TURNS,快进
OPTIONS_CROSSPLAY_ENABLE,跨平台联机
OPTIONS_CROSSPLAY_ENABLE_DESCRIPTION,让你和其他受支持平台上的玩家进行多人游戏。
OPTIONS_GAMEPLAY,游戏首选项
OPTIONS_GAMEPLAY_FOCUS_CLOSEST_BANE,聚焦最近的贝恩
OPTIONS_GAMEPLAY_FOCUS_CLOSEST_KINGSGUARD,聚焦最近的国王守卫
OPTIONS_GAMEPLAY_PREFERENCES_HEADING,游戏首选项
OPTIONS_GAMEPLAY_PREFERENCES_WARNING,注：在某些游戏模式下，这些首选项可能会被覆盖
OPTIONS_GAMEPLAY_QUICK_AI_ENCOUNTERS,快速 AI 遭遇
OPTIONS_GAMEPLAY_QUICK_MODE,快速游戏模式
OPTIONS_GAMEPLAY_ROLL_DICE,掷骰子
OPTIONS_GAMEPLAY_SETTINGS_HEADING,游戏设置
OPTIONS_GAMEPLAY_TUTORIALS,教程
OPTIONS_HOUSE_RULES_FIRST_TIME_WARNING,欢迎你，冒险者！这些是阿门罗的自定义规则，汇聚了社区的绝佳建议和我们工作室自己的实验！
OPTIONS_HOUSE_RULES_HEADING,自定义规则
OPTIONS_HOUSE_RULES_PROGRESSION_WARNING,警告：成就已在自定义游戏中禁用！
OPTIONS_HOUSE_RULES_PROGRESSION_WARNING_MULTIPLAYER,警告：更改任何一条自定义规则，都会禁用此游戏的成就和多人进度！
OPTIONS_INTERFACE,界面
OPTIONS_INTERFACE_HEADING,界面选项
OPTIONS_LANGUAGE,语言
OPTIONS_LANGUAGE_DESC,选择语言
OPTIONS_SHOW_RANK,显示玩家级别
OPTIONS_SHOW_RANK_OFF,关闭
OPTIONS_SHOW_RANK_ON,开启
OPTIONS_VIDEO_AUDIO,音频与视频
OPTIONS_VIDEO_AUDIO_HEADING,视频与音频选项
OPTIONS_VIDEO_FULLSCREEN_MODE,屏幕模式
OPTIONS_VIDEO_FULLSCREEN_OFF,窗口化
OPTIONS_VIDEO_FULLSCREEN_ON,全屏模式
OPTIONS_VIDEO_GRAPHICS_QUALITY,图形质量
OPTIONS_VIDEO_RESOLUTION,屏幕分辨率
OPTIONS_VIDEO_VSYNC,垂直同步模式
PALACEPERILCARDTYPE_NAME,王宫陷阱
PAUSE_MENU_AV_OPTIONS,音频/视频
PAUSE_MENU_CHANGE_USER,更改用户
PAUSE_MENU_CHANGE_USER_PROMPT,以其他用户登录将退出当前游戏。确定要继续吗？
PAUSE_MENU_CONTINUE,继续
PAUSE_MENU_CONTROLS,控制
PAUSE_MENU_GAMEPLAY_OPTIONS,游戏设置
PAUSE_MENU_GAME_GUIDE,游戏指南
PAUSE_MENU_HOUSE_RULES,自定义规则
PAUSE_MENU_INTERFACE_OPTIONS,界面
PAUSE_MENU_QUIT,退出
PAUSE_MENU_RESTART_ACT,重新开始本幕
PERIL_INSTRUCTION_TEXT,烧掉卡牌或掷骰子\n以匹配符号
PERIL_RETURN_TO_BOARD,返回桌面
PERIL_STAT_VERSUS_PERIL,<stat_type> 对决 陷阱
PERIL_TITLE,陷阱
PRESTIGELEADER_ANNOUNCE,“根据我忠实总管的建议，<clan>族的<hero>，愿这黎明的宣言成为律令。”
PRESTIGELEADER_DAWN,第{0}天的黎明
PRESTIGELEADER_DESC,等待国王今天的宣言……
PRESTIGELEADER_DESC_LEADER,选择国王的宣言。
PRESTIGELEADER_NONE_ANNOUNCE,"""希望这黎明的宣言将统治一切。"""
PRESTIGELEADER_TITLE,国王将<clan>族的<hero>召到他身边。
PRESTIGELEADER_TITLE_LEADER,<hero>，作为声望首领，国王想寻求你的建议。
PROLOGUEACT1CONFIG_DESCRIPTION,在塞恩的故事中，学习移动和战斗的基础。
PROLOGUEACT1CONFIG_NAME,狼族的追猎
PROLOGUEACT1CONFIG_REFILLCARDADVICE,你丢了<card>！这里还有一个。
PROLOGUEACT1CONFIG_REFILLRESOURCESADVICE,再给你一点<stat_type>，这样你就能施放<card>了。
PROLOGUEACT2CONFIG_DESCRIPTION,在墨丘里奥的故事中，学习打出卡牌，穿越阿门罗的重重陷阱。
PROLOGUEACT2CONFIG_NAME,鼠族的故事
PROLOGUEACT2CONFIG_REFILLCARDADVICE,你丢了<card>！这里还有一个。
PROLOGUEACT2CONFIG_REFILLRESOURCESADVICE,再给你一点<stat_type>，这样你就能施放<card>了。
PROLOGUEACT3CONFIG_DESCRIPTION,在安布尔的故事中，学习施放法术并操纵王国的政局。
PROLOGUEACT3CONFIG_NAME,兔族的征途
PROLOGUEACT3CONFIG_REFILLCARDADVICE,你丢了<card>！这里还有一个。
PROLOGUEACT3CONFIG_REFILLRESOURCESADVICE,再给你一点<stat_type>，这样你就能施放<card>了。
PROLOGUEACT4CONFIG_DESCRIPTION,在萨娜的故事中，学习抵御腐化，并发现通往胜利的不同路线。
PROLOGUEACT4CONFIG_NAME,熊族的朝圣
PROLOGUEACT4CONFIG_REFILLCARDADVICE,你丢了<card>！这里还有一个。
PROLOGUEACT4CONFIG_REFILLRESOURCESADVICE,再给你一点<stat_type>，这样你就能施放<card>了。
PROLOGUESELECT_CONTINUE,继续
PROLOGUE_ACT1_OUTRO_1,阿门罗内部激起黑暗力量\n\n因为现在腐化迹象已经蔓延
PROLOGUE_ACT1_OUTRO_2,一只被猎捕的狼被迫后退\n\n当老鼠偷偷潜入想要寻找更多东西时
PROLOGUE_ACT2_OUTRO_1,"混乱肆虐，笼罩大地

英雄奔走，止乱定计"
PROLOGUE_ACT2_OUTRO_2,但在东方仍然是阳光明媚\n\n一只兔子的追寻现在已经开始\n
PROLOGUE_ACT3_OUTRO_1,"国王抛弃了他纯洁之道

腐化日益壮大"
PROLOGUE_ACT3_OUTRO_2,"聪明的兔子谋划守护我们的自由

而熊群在怀尔德树下谈和平"
PROLOGUE_ACT4_OUTRO_1,从狼到熊，部族宣布，\n\n夺取王位的时刻到了
PROLOGUE_ACT4_OUTRO_2,"腐化悄然蔓延，扭曲了我们的国王，

英雄们，奋起！拯救阿门罗！"
PROLOGUE_AMBER_LETTER,[B20A0EFF]安布尔夫人，[-] [000000FF]我们欢迎你，远寻者，愿你旅途顺利。我们带来了可怕的消息，心情十分沉重。国王已弃绝兔族议会。他不再听取我们的意见，王国也因此遭殃。你是名扬阿门罗的传奇，我们请你巩固声望，重获国王的信任。趁事态尚未升级，我们仍可平息此事。[-]
PROLOGUE_AMBER_LETTER_SENDER,弗洛里安，兔族首领
PROLOGUE_MERCURIO_LETTER,[B20A0EFF]你好，墨丘里奥。[-] [000000FF]我们安插在王宫的亲信听闻了秘密计划。塞恩似乎对他的本事颇为自许。他在搜寻腐化的工具。国王已为他设下陷阱，他头上将挂起悬赏。我们要你去领下这份悬赏，让他知道染指腐化的后果，然后把这些工具夺为己用。间谍大师纳特·芬尼特在南岸等你，她的本事会对你有用。祝你好运。利剑要锋利，口舌要更利。记住，毁掉这封信。[-]
PROLOGUE_MERCURIO_LETTER_SENDER,菲斯汀
PROLOGUE_SANA_LETTER,[B20A0EFF]萨娜姐姐，[-] [000000FF]我长话短说。你一定也察觉到黑暗在蔓延，古老的魔法在涌动——那是腐化的力量。长老们一致认同：它回来了。必须在腐化显现之前将其净化。若贝恩再度崛起，一切都将万劫不复。[-]
PROLOGUE_SANA_LETTER_SENDER,哥哥艾拉日尔斯
PROLOGUE_THANE_LETTER,[B20A0EFF]愿月光照耀你，塞恩。[-] [000000FF]长老们愈发不安，黑暗的气息污染着空气。我们怀疑有黑暗力量在作祟，我们怀疑是腐化。一名狼族骑士在南岸门外等你，他已上报鼠族活动的迹象，污秽或许正是他们所为。我们已派一名向导引你前往聚落。他虽是个话痨，却是经验老到的探险家，会好好辅佐你。愿你的利剑百发百中。[-]
PROLOGUE_THANE_LETTER_SENDER,踏雪者格雷迈恩，族母。
PUSHNOTIFICATION_24_DESCRIPTION,你的每日宝箱奖励已准备好！
PUSHNOTIFICATION_24_TITLE,领取你的免费宝箱！
PUSHNOTIFICATION_72_DESCRIPTION,英雄，阿门罗王国需要你！
PUSHNOTIFICATION_72_TITLE,阿门罗的王座等待着你！
QUESTS_CHOOSE_QUEST_DESCRIPTION,“嗨，长官，我听说阿门罗的土地上出事了！可能只是谣言，但你有胆量接下吗？”
QUESTS_CHOOSE_QUEST_TITLE,选择任务
QUESTS_TIER_1_QUEST_DESCRIPTION_0,“怀尔德保佑你，<hero_name>。你能来真是太好了。有许多事情需要处理。”
QUESTS_TIER_1_QUEST_DESCRIPTION_1,你总算来这儿了。有许多灾难需要注意，而且你是唯一能够帮忙的。
QUESTS_TIER_1_QUEST_DESCRIPTION_2,我们这里没有太多你的同类。好吧。可能你在这里能调查点事情。
QUESTS_TIER_1_QUEST_DESCRIPTION_3,哇！<hero_name>！我听到些消息，你肯定想知道！
QUESTS_TIER_1_QUEST_DESCRIPTION_4,“啊！是<hero_name>！怀尔德知道我有消息要告诉你！”
QUESTS_TIER_1_QUEST_DESCRIPTION_5,我记得在我像你这么大的时候，喜欢听童话故事。嗯，我有几个你肯定想听。
QUESTS_TIER_1_QUEST_DESCRIPTION_6,有硬币吗？我知道些你肯定想听的事。
QUESTS_TIER_1_QUEST_DESCRIPTION_7,仔细听我说，英雄。有许多事情需要你做，也有许多其他英雄可以做，所以你就把事情做好，不然我会找其他笨蛋去做。
QUESTS_TIER_1_QUEST_DESCRIPTION_8,谣言？我有更好的事要做！嗯……好吧，我确实听到一两件听起来有点怪的事。
QUESTS_TIER_1_QUEST_DESCRIPTION_9,"其他英雄都犯了错误。你是我唯一信任的对象。我这就告诉你我知道的事情。"""
QUESTS_TIER_2_QUEST_DESCRIPTION_0,"""曾经有一天，整个阿门罗上下一心。如今，苦难多得数不胜数。"""
QUESTS_TIER_2_QUEST_DESCRIPTION_1,另一位英雄。你们中有一些在东奔西跑。你看起来仍然很强壮。你可能需要承担一些真正的任务。
QUESTS_TIER_2_QUEST_DESCRIPTION_2,一位英雄？呃。嗯，如果你想去做不可能的事情，我听说了一些事情。
QUESTS_TIER_2_QUEST_DESCRIPTION_3,<hero_name>！很高兴看到你。我的父母正谈论着一些恐怖的事情。
QUESTS_TIER_2_QUEST_DESCRIPTION_4,你知道，如果你需要帮助，我总是会在身边。我现在有一些事情需要你了解！
QUESTS_TIER_2_QUEST_DESCRIPTION_5,在我这个年龄，人们在你耳边说话的时候是不会注意他们的言辞的。因此我听过各种各样有趣的事情。
QUESTS_TIER_2_QUEST_DESCRIPTION_6,有秘密的话，离乞丐远点。我们的耳朵可比你想象的灵。
QUESTS_TIER_2_QUEST_DESCRIPTION_7,如果你看到我看到的东西，你可能会更加谨慎去做这种'英勇'的事迹。
QUESTS_TIER_2_QUEST_DESCRIPTION_8,"""如今人们很少交谈，信任已不复存在。大概是因为周围的陷阱太多了。"""
QUESTS_TIER_2_QUEST_DESCRIPTION_9,"""为国王效力时，我无意间听到许多可能威胁阿门罗安全的事。"""
QUESTS_TIER_3_QUEST_DESCRIPTION_0,"""白天越来越短，黑夜越来越长，<hero_name>。需要你帮忙把阿门罗从黑暗中拯救出来。"""
QUESTS_TIER_3_QUEST_DESCRIPTION_1,"""让腐化吞掉国王和他那类东西吧。得靠你这样的兽挺身而出，否则阿门罗将化为灰烬。"""
QUESTS_TIER_3_QUEST_DESCRIPTION_2,并不是因为我在乎，但是还是有些流言蜚语。我想你可能想要知道个究竟。
QUESTS_TIER_3_QUEST_DESCRIPTION_3,<hero_name>！每个人都在谈论着黑暗中的危险。
QUESTS_TIER_3_QUEST_DESCRIPTION_4,<hero_name>。我一直留心着你可能需要的消息。
QUESTS_TIER_3_QUEST_DESCRIPTION_5,"""我知道我听起来像只老蛤蟆，但阿门罗近来每况愈下。我知道几个像你这样的年轻人能帮上忙的法子。"""
QUESTS_TIER_3_QUEST_DESCRIPTION_6,时间已经很长了，<hero_name>。但是，如果你为我调查点事情，我可以让时间再长一些。
QUESTS_TIER_3_QUEST_DESCRIPTION_7,"""你比大多数""英雄""都出色。这也是好事。我们需要有你这般本领的人。麻烦正在酝酿。"""
QUESTS_TIER_3_QUEST_DESCRIPTION_8,"""我以前总觉得国王会保护我们……可疾行兔清洗之后呢？他难保不会做得太过火。"""
QUESTS_TIER_3_QUEST_DESCRIPTION_9,"""如果国王的疯狂不受遏制，整个阿门罗都将陷入危险。但在对付他之前，还有别的事需要处理。"""
QUESTS_TIER_4_QUEST_DESCRIPTION_0,"""末日即将到来 <hero_name>。在你对付国王前，请再帮助我们一次。"
QUESTS_TIER_4_QUEST_DESCRIPTION_1,"""快结束了，英雄。去吧。这片大地需要你。你欠着阿门罗民众的。"""
QUESTS_TIER_4_QUEST_DESCRIPTION_2,"""连我都看得出阿门罗病了。你得做点什么，<hero_name>。快。"""
QUESTS_TIER_4_QUEST_DESCRIPTION_3,我的妈妈说，如果你不来帮助，阿门罗的一切都将毁于一旦。帮帮忙吧？
QUESTS_TIER_4_QUEST_DESCRIPTION_4,<hero_name>！我不该在这里。太危险了。我会告诉你我听到的东西，然后我就会藏起来。
QUESTS_TIER_4_QUEST_DESCRIPTION_5,我剩下的时间不多了。但我希望，在我死之前，能够看到一些好的事情发生。
QUESTS_TIER_4_QUEST_DESCRIPTION_6,"""上次发生这些不好的事情时，我丢掉了我的幼兽。请不要再让这种事情发生在他人身上。你必须帮忙。"""
QUESTS_TIER_4_QUEST_DESCRIPTION_7,"""怀尔德在上！你可算来了。你得开始行动了。阿门罗正麻烦缠身。"""
QUESTS_TIER_4_QUEST_DESCRIPTION_8,我不会假装喜欢你们这些英雄，但这种时候只有你们能帮上忙。我听说了一些非常可怕的危机。
QUESTS_TIER_4_QUEST_DESCRIPTION_9,"""没有你的帮助，阿门罗早就陷落了。我很遗憾这么说，但我们还需要你帮最后一次忙。"""
QUESTS_TIER_5_QUEST_DESCRIPTION_0,"""时候到了，<hero_name>。如果你现在不弑杀国王，整个阿门罗都将万劫不复。"""
QUESTS_TIER_5_QUEST_DESCRIPTION_1,终于要结束了。不管怎样。去吧，戴着皇冠回来，或者别回来了。
QUESTS_TIER_5_QUEST_DESCRIPTION_2,"我从没想过我会说这话，但是你在王位上会非常出色的。亲自去杀掉国王吧！"""
QUESTS_TIER_5_QUEST_DESCRIPTION_3,"""你做到了！我知道你会的，差不多。但是，你还要做点其他的事情。"""
